NUM;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;Gender
77;6;9;10;6;8;6;5;9;4;4;4;9;7;10;6;4;3;3;3;3;1
78;10;9;7;7;7;7;8;9;10;8;7;7;9;10;8;8;8;8;6;8;1
79;8;8;9;9;8;10;9;9;9;10;10;10;8;10;8;10;10;10;10;10;1
80;6;8;7;9;9;9;9;7;9;9;8;6;8;7;9;7;8;10;7;8;1
81;7;9;5;6;7;6;6;9;7;7;5;7;9;8;6;6;3;9;3;9;1
82;8;9;8;5;10;10;7;9;10;10;9;10;8;10;6;10;5;10;7;10;1
83;10;10;7;10;8;10;10;10;10;10;10;10;10;10;10;8;8;10;7;10;1
84;7;8;7;8;8;7;6;7;7;7;8;7;8;7;7;8;5;6;6;5;1
85;7;9;7;7;9;8;7;8;8;7;8;9;9;9;7;7;7;7;8;7;1
86;9;10;9;8;9;9;9;9;9;10;10;9;9;9;9;9;9;9;9;9;1
87;8;8;8;7;9;8;8;8;8;8;8;8;9;8;8;6;7;8;5;8;1
88;6;5;6;6;6;6;6;5;6;6;6;5;8;6;7;4;5;5;7;7;1
89;8;7;8;9;8;7;7;9;8;8;7;8;9;9;7;7;1;8;7;7;1
90;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;9;10;9;10;1
91;8;8;8;9;8;9;9;9;9;9;9;10;9;10;8;9;8;9;9;10;1
92;8;8;8;8;7;8;8;7;8;8;8;8;8;8;10;8;7;8;8;8;1
93;8;8;5;8;6;8;8;8;8;10;9;8;9;9;8;8;7;9;7;6;1
94;9;9;8;7;8;8;8;8;9;8;9;8;8;8;8;7;6;8;7;8;1
95;8;10;7;10;10;7;8;8;10;10;10;10;10;10;7;5;5;7;7;10;1
96;7;8;7;7;8;7;7;7;8;9;9;8;8;8;7;8;8;8;8;8;1
97;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1
98;10;9;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1
99;7;8;7;6;8;8;8;8;7;8;5;8;9;8;7;8;7;5;4;5;1
100;9;10;10;9;9;9;9;9;9;10;10;9;9;10;10;9;10;10;10;10;1
101;10;10;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1
102;10;10;10;6;5;6;7;7;5;8;8;5;10;10;7;8;5;6;5;8;1
103;9;8;8;9;9;8;7;8;8;8;8;8;8;9;8;8;9;8;7;9;1
104;8;8;7;10;8;7;8;8;7;9;7;7;8;9;8;4;7;7;8;8;1
105;9;10;9;10;9;9;9;9;9;10;10;10;10;10;10;9;8;9;9;10;1
106;6;9;9;8;4;7;6;7;4;5;8;4;5;6;6;6;7;6;7;7;1
107;10;10;9;10;10;10;7;10;10;10;10;10;6;10;10;10;10;10;10;10;1
108;8;8;6;4;7;7;7;9;6;7;7;7;9;8;5;6;3;7;5;5;1
109;7;7;6;6;6;6;6;6;7;7;7;7;8;7;6;6;6;6;6;7;1
110;8;8;7;9;8;9;8;8;9;9;7;9;8;9;7;7;8;9;8;10;1
111;8;8;7;7;9;8;8;7;8;8;7;6;8;10;7;8;7;7;6;8;1
112;8;10;10;10;8;9;8;9;10;10;8;10;10;10;10;7;8;10;8;10;1
113;9;9;8;9;8;8;8;7;7;8;9;9;9;8;9;9;8;8;9;9;1
114;10;8;6;10;9;9;8;9;8;10;10;10;10;10;9;9;7;9;8;9;1
115;7;8;6;8;9;9;6;8;9;9;8;9;10;10;8;8;7;8;6;8;1
116;8;8;8;6;8;6;8;8;8;8;8;8;8;8;7;7;4;6;1;1;1
117;10;8;7;9;8;8;8;7;9;9;8;8;10;9;8;8;7;8;9;9;1
118;8;7;6;5;8;6;8;6;7;7;6;8;7;9;7;6;5;6;5;7;1
119;7;5;5;6;5;7;8;5;6;8;6;7;8;8;8;5;5;5;5;6;1
120;10;10;7;1;1;4;6;1;4;10;10;5;2;10;7;1;10;1;1;10;1
121;6;6;6;6;5;5;4;6;5;5;4;7;5;8;6;7;4;5;4;6;0
122;9;8;9;10;9;9;9;8;9;9;9;9;9;10;9;10;8;8;8;9;0
123;9;9;8;10;8;8;7;9;8;10;10;9;10;8;8;8;8;8;9;10;0
124;10;9;7;9;8;9;8;9;9;9;8;8;8;9;9;9;8;9;8;9;0
125;8;8;6;10;7;8;8;8;6;6;10;6;6;8;8;8;7;8;6;7;0
126;7;7;7;6;6;6;7;7;7;7;7;8;8;8;6;7;8;8;7;7;0
127;10;8;7;8;8;10;10;10;10;10;10;10;10;10;8;10;10;10;10;10;0
128;7;8;7;8;6;7;8;8;6;9;8;5;8;8;7;7;5;7;5;7;0
129;8;8;7;9;9;8;6;6;8;7;7;7;8;8;7;8;7;7;7;7;0
130;8;8;5;6;5;5;5;4;6;6;6;6;7;5;6;7;6;5;5;8;0
131;8;8;7;7;6;8;8;7;6;8;9;8;9;9;8;8;8;8;5;7;0
132;9;9;8;10;8;8;9;8;8;9;8;9;9;8;7;10;7;8;8;8;0
133;8;8;7;9;9;7;7;8;7;10;7;9;8;8;7;8;6;7;7;8;0
134;8;7;8;8;9;8;8;7;9;9;8;7;9;9;6;8;8;8;7;9;0
135;8;6;5;7;7;8;8;8;7;6;7;7;8;8;7;5;5;7;7;7;0
136;8;9;7;8;6;8;6;8;8;6;7;8;7;9;5;6;9;8;7;6;0
137;7;9;7;9;8;8;5;8;7;9;9;7;8;6;8;8;5;9;9;6;0
138;10;10;7;10;8;10;10;8;8;10;10;10;10;10;9;10;10;10;10;10;0
139;8;9;7;8;8;8;9;9;8;9;8;9;8;9;8;8;7;8;8;8;0
140;9;10;10;9;9;9;9;9;9;8;8;9;10;9;8;9;8;8;8;9;0
141;8;7;8;8;8;8;9;6;6;8;7;7;8;7;8;7;7;8;8;10;0
142;7;7;8;7;8;7;8;8;7;7;7;8;8;7;7;8;8;7;7;7;0
143;10;10;10;10;10;9;8;8;8;9;8;9;9;9;8;9;8;9;8;8;0
144;10;10;10;10;10;10;10;10;8;10;10;10;8;10;10;10;10;10;10;10;0
145;6;9;5;1;8;8;7;7;9;10;6;9;10;10;6;8;6;10;7;10;0
146;10;10;8;10;10;10;10;10;9;10;10;10;8;10;10;9;8;10;8;10;0
147;9;9;9;9;9;8;8;8;8;9;9;9;8;10;9;8;8;9;7;9;0
148;10;9;8;10;10;9;8;8;8;10;9;9;8;9;10;9;7;8;8;9;0
149;7;8;8;7;8;8;8;8;8;8;7;8;8;9;7;8;7;7;7;7;0
150;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;0
151;8;8;8;8;8;8;8;8;7;8;9;8;10;10;8;8;8;9;8;10;0
152;8;8;8;8;9;8;8;8;9;9;9;9;8;9;9;9;7;8;7;8;0
153;10;10;8;10;10;9;9;10;10;10;10;9;10;8;9;8;9;10;8;10;0
154;9;9;8;8;7;9;9;9;9;9;8;8;9;9;9;8;8;9;7;9;0
155;8;8;6;7;8;8;9;10;7;9;7;8;8;7;8;7;10;10;6;6;0
156;8;10;7;7;9;7;8;8;7;9;7;9;9;10;7;6;6;7;6;7;0
157;9;9;7;8;9;8;7;8;8;8;7;9;9;7;8;7;7;8;8;9;0
158;10;10;8;8;8;9;8;8;7;8;9;9;9;10;8;9;7;8;7;8;0
159;8;9;7;5;8;7;8;9;8;4;5;8;9;9;6;6;5;7;6;7;0
160;8;10;8;6;8;8;6;8;7;7;7;8;7;9;8;8;7;8;7;8;0
161;10;8;7;9;8;9;9;9;9;9;9;8;7;9;9;9;8;9;9;9;0
162;1;10;1;1;1;1;5;7;8;8;2;8;8;8;2;2;2;7;3;10;0
163;8;8;7;9;8;8;8;7;8;9;9;8;8;7;8;8;8;9;7;9;0
164;8;7;8;8;8;6;7;7;7;7;7;7;7;6;8;7;6;7;7;8;0
165;5;8;6;8;10;8;8;9;9;8;8;8;9;8;9;8;6;5;6;9;0
166;9;9;8;10;9;10;9;9;8;10;10;9;8;10;9;8;10;9;9;10;0
167;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;0
168;7;6;6;5;8;8;9;8;7;9;7;9;7;9;8;8;6;7;6;7;0
169;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0
170;7;6;6;7;7;6;7;7;7;6;5;6;7;7;6;5;6;6;4;6;0
171;6;8;6;6;8;5;6;9;9;6;4;9;9;9;5;6;3;4;4;4;0
172;10;9;8;8;9;8;8;8;7;8;7;9;9;9;8;8;7;8;8;8;0
173;8;8;7;8;7;7;7;7;6;7;7;7;7;7;9;7;7;7;7;8;0
174;8;9;9;10;9;9;8;9;8;9;9;9;8;8;9;9;8;10;10;10;0
175;6;8;7;8;8;7;7;8;8;8;7;8;7;9;7;6;6;6;5;6;0
176;8;8;7;9;8;8;8;8;8;8;7;8;8;8;8;9;7;8;8;9;0
177;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;0
178;9;8;8;8;8;8;8;8;9;9;9;8;8;8;9;8;8;9;9;9;0
179;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;0
180;6;10;8;9;10;10;9;9;9;9;9;10;9;10;8;8;9;10;8;9;0
181;10;10;7;5;5;10;10;10;10;10;10;10;8;10;5;10;10;10;10;10;0
182;10;10;8;8;9;10;9;9;9;9;9;10;10;10;9;9;9;9;9;9;0
183;10;10;8;10;10;10;10;10;10;10;10;8;10;10;10;10;10;10;10;10;0
184;8;8;7;7;8;8;8;8;8;9;9;8;9;9;8;8;7;8;8;8;0
185;8;8;7;6;6;8;7;7;6;7;8;7;9;8;8;7;6;8;5;8;0
186;8;8;8;8;8;8;8;8;8;7;7;6;8;7;8;7;7;7;7;8;0
187;8;9;6;7;9;7;8;8;8;9;9;9;8;9;8;8;8;8;8;8;0
188;8;9;7;8;8;8;9;8;8;8;8;8;8;9;9;8;7;7;7;8;0
189;6;6;5;6;6;7;7;6;6;7;6;7;8;7;7;6;6;6;4;7;0
190;9;10;8;9;9;10;8;9;8;9;10;9;8;10;9;9;8;10;6;10;0
191;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;8;0
192;8;8;8;9;8;9;9;9;9;9;10;10;10;10;8;8;9;10;9;10;0
193;8;8;8;8;8;9;8;8;8;8;8;8;8;8;9;7;8;8;9;8;0
194;10;8;7;10;5;8;8;7;8;10;8;8;7;10;7;8;8;8;8;10;0
195;7;7;7;7;7;8;8;8;8;8;8;8;8;8;7;8;7;10;8;8;0
196;8;7;8;8;8;10;8;8;8;10;8;10;10;10;8;8;7;8;8;8;0
197;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;0
198;8;10;8;10;8;10;10;10;10;10;10;10;8;10;10;8;8;10;6;8;0
199;10;10;10;10;9;10;10;10;10;10;9;10;9;10;10;10;10;8;10;10;0
200;10;6;7;4;8;8;8;8;5;3;8;8;8;10;3;4;3;3;3;8;0
201;8;8;7;8;8;7;7;7;7;10;8;8;10;10;8;8;7;7;9;9;0
202;9;9;8;8;8;8;8;8;8;8;8;10;8;9;8;8;9;10;8;8;0
203;7;9;8;7;8;8;8;8;7;8;7;8;8;8;7;7;7;7;7;6;0
204;7;7;7;8;8;8;7;7;6;7;7;7;8;7;8;7;7;7;6;7;0
205;5;8;1;4;5;6;6;6;9;7;7;8;8;6;6;6;1;4;4;5;0
206;10;8;7;9;7;8;6;10;9;10;10;6;8;10;8;9;7;8;7;10;0
207;7;7;7;7;7;8;7;7;6;8;8;8;8;8;8;7;8;8;7;8;0
208;8;6;5;6;7;7;7;6;7;7;6;7;7;8;6;6;4;5;1;6;0
209;9;8;8;7;8;8;8;9;8;9;9;9;8;9;7;7;5;10;8;8;0
210;7;7;7;7;8;7;7;8;7;8;8;8;8;8;8;8;7;8;7;7;0
211;9;10;9;10;8;9;8;10;9;10;9;10;10;9;9;8;8;9;9;10;0
212;8;9;9;10;7;8;6;6;7;6;7;4;8;8;7;8;7;10;6;10;0
213;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8;10;0
214;9;8;7;9;8;9;9;9;9;9;9;9;9;9;8;8;8;9;8;9;0
215;8;8;6;6;6;7;7;6;8;6;8;8;9;6;7;6;7;7;8;9;0
216;7;8;6;7;9;8;7;6;8;7;7;7;9;9;7;6;5;4;6;7;0
217;8;9;8;7;9;8;8;8;7;8;8;8;8;8;7;7;6;8;7;8;0
218;10;10;7;8;9;8;7;8;7;8;7;9;8;9;8;8;5;8;2;8;0
219;8;9;8;8;9;8;8;8;9;8;8;9;9;8;9;8;8;8;8;9;0
220;8;8;7;8;8;8;8;8;9;8;8;8;9;9;8;8;7;8;8;8;0
221;9;9;8;7;9;9;8;5;8;7;8;6;9;9;7;8;9;8;6;8;0
222;8;7;8;7;7;7;7;6;6;8;7;7;8;7;8;8;7;8;7;7;0
223;9;9;7;6;8;7;8;7;8;5;8;7;8;8;8;7;6;8;5;6;0
224;10;8;8;10;8;8;8;9;9;10;9;9;10;9;8;9;8;8;8;8;0
225;9;6;7;9;8;8;6;6;6;8;8;8;8;8;8;4;6;8;5;8;0
226;10;6;7;9;8;10;10;9;8;10;5;8;5;5;8;7;5;10;5;7;0
227;7;8;8;9;8;8;7;9;8;9;9;6;8;9;8;8;7;10;8;8;0
228;7;8;7;8;6;7;7;7;7;9;9;5;6;8;7;7;7;8;7;7;0
229;8;9;4;6;6;7;8;7;6;9;7;3;3;8;8;7;6;6;6;6;0
230;7;6;6;7;7;7;6;6;6;6;5;6;7;6;6;5;3;5;5;6;0
231;9;10;8;8;8;9;8;8;8;10;10;9;10;9;8;9;9;8;8;9;0
232;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0
233;8;9;8;9;9;9;8;9;8;9;8;8;7;9;8;8;9;8;8;8;0
234;8;7;7;8;8;9;9;9;8;9;9;8;9;9;8;8;6;8;9;8;0
235;8;8;6;6;8;7;6;8;5;6;8;8;8;9;6;6;5;7;5;7;0
236;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8;10;8;10;0
237;8;8;8;8;8;8;8;8;9;9;8;9;8;9;9;8;8;10;9;9;0
238;8;8;10;8;7;8;6;9;8;8;7;8;8;8;7;7;5;8;7;10;0
239;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;5;5;10;10;10;0
240;8;8;8;8;9;8;8;8;9;8;8;8;8;8;8;8;8;10;6;8;0
241;10;10;8;10;9;10;10;9;9;10;10;10;8;9;10;10;10;10;10;10;0
242;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;0
243;8;10;8;8;10;9;8;8;9;9;7;8;7;8;9;7;8;9;8;7;0
244;10;9;8;9;9;9;8;10;9;9;9;9;9;9;9;9;8;9;9;9;0
245;10;10;6;10;10;10;8;7;8;10;10;7;8;10;10;9;10;10;10;8;0
246;6;7;4;6;6;6;7;6;7;7;6;7;8;7;6;6;3;4;3;5;0
247;9;10;9;9;8;9;8;8;8;9;9;8;9;8;9;8;8;9;7;8;0
248;8;9;6;7;8;7;7;7;7;6;8;6;4;7;7;6;1;7;3;6;0
249;8;7;7;6;8;8;7;8;7;5;7;6;8;8;7;6;6;6;4;8;0
250;9;9;8;8;8;8;7;8;7;8;7;8;8;8;8;10;5;8;7;8;0
251;7;9;7;6;8;7;7;7;7;6;7;6;10;8;7;7;7;7;5;6;0
